"x","y","GID","200w_3C"
-82.1250169,29.95833411,64112,-7.73821783065796
-82.1250169,30.04166744,64113,-7.72473764419556
-82.1250169,30.12500077,64114,-7.75149345397949
-82.1250169,30.2083341,64115,-7.77824878692627
-82.1250169,30.29166743,64116,-7.79788112640381
-82.1250169,30.37500076,64117,-7.81038951873779
-82.1250169,30.45833409,64118,-7.82289791107178
-82.1250169,30.54166742,64119,-7.81952047348022
-82.1250169,30.70833408,64120,-7.78099536895752
-82.1250169,30.87500074,64121,-7.74593877792358
-82.1250169,30.95833407,64122,-7.72898864746094
-82.1250169,31.12500073,64123,-7.72720384597778
-82.1250169,31.20833406,64124,-7.73166418075562
-82.1250169,31.29166739,64125,-7.7247519493103
-82.1250169,31.37500072,64126,-7.706467628479
-82.1250169,31.45833405,64127,-7.68818330764771
-82.1250169,31.54166738,64128,-7.66443586349487
-82.1250169,31.62500071,64129,-7.63522577285767
-82.1250169,31.70833404,64130,-7.60601568222046
-82.1250169,31.79166737,64131,-7.58516359329224
-82.1250169,31.8750007,64132,-7.57266902923584
-82.1250169,31.95833403,64133,-7.5601749420166
-82.1250169,32.04166736,64134,-7.53866338729858
-82.1250169,32.12500069,64135,-7.50813484191895
-82.1250169,32.20833402,64136,-7.47760629653931
-82.1250169,32.29166735,64137,-7.42586088180542
-82.1250169,32.37500068,64138,-7.35290002822876
-82.1250169,32.45833401,64139,-7.2799391746521
-82.1250169,32.54166734,64140,-7.20391845703125
-82.1250169,32.62500067,64141,-7.12483882904053
-82.1250169,32.708334,64142,-7.04575872421265
-82.1250169,32.79166733,64143,-6.98918724060059
-82.1250169,32.87500066,64144,-6.95512390136719
-82.1250169,32.95833399,64145,-6.92106103897095
-82.1250169,33.04166732,64146,-6.86351490020752
-82.1250169,33.12500065,64147,-6.78248691558838
-82.1250169,33.20833398,64148,-6.7014594078064
-82.1250169,33.29166731,64149,-6.61438941955566
-82.1250169,33.37500064,64150,-6.52127695083618
-82.1250169,33.45833397,64151,-6.4281644821167
-82.1250169,33.5416673,64152,-6.33465003967285
-82.1250169,34.12500061,64153,-5.65475511550903
-82.1250169,34.20833394,64154,-5.55854988098145
-82.1250169,34.29166727,64155,-5.44384670257568
-82.1250169,34.3750006,64156,-5.31064510345459
-82.1250169,34.45833393,64157,-5.1774435043335
-82.1250169,34.54166726,64158,-5.02709341049194
-82.1250169,34.62500059,64159,-4.85959577560425
-82.1250169,34.70833392,64160,-4.69209814071655
-82.1250169,34.79166725,64161,-4.51352834701538
-82.1250169,34.87500058,64162,-4.32388639450073
-82.1250169,34.95833391,64163,-4.13424444198608
-82.1250169,35.12500057,64164,-3.4706130027771
-82.1250169,35.2083339,64165,-3.09140682220459
-82.1250169,35.29166723,64166,-2.74140405654907
-82.1250169,35.37500056,64167,-2.42060351371765
-82.1250169,35.45833389,64168,-2.09980297088623
-82.1250169,35.54166722,64169,-1.77563154697418
-82.1250169,35.62500055,64170,-1.44808900356293
-82.1250169,35.87500054,64171,-0.696779608726501
-82.1250169,35.95833387,64172,-0.523448467254639
-82.1250169,36.0416672,64173,-0.463217198848724
-82.1250169,36.37500052,64174,-0.834304094314575
-82.1250169,36.54166718,64175,-1.08775341510773
-82.1250169,36.62500051,64176,-1.1168098449707
-82.1250169,36.70833384,64177,-1.14586627483368
-82.1250169,36.79166717,64178,-1.13751459121704
-82.1250169,36.8750005,64179,-1.09175562858582
-82.1250169,36.95833383,64180,-1.04599678516388
-82.1250169,37.04166716,64181,-1.09342563152313
-82.1250169,37.29166715,64182,-1.56109488010406
-82.1250169,37.54166714,64183,-2.17125940322876
-82.1250169,37.62500047,64184,-2.23026537895203
-82.1250169,37.7083338,64185,-2.28927135467529
-82.1250169,37.87500046,64186,-2.49619889259338
-82.1250169,37.95833379,64187,-2.61448168754578
-82.1250169,38.04166712,64188,-2.74150609970093
-82.1250169,38.12500045,64189,-2.87727189064026
-82.1250169,38.20833378,64190,-3.01303791999817
-82.1250169,38.29166711,64191,-3.11273670196533
-82.1250169,38.37500044,64192,-3.17636895179749
-82.1250169,38.45833377,64193,-3.24000144004822
-82.1250169,38.5416671,64194,-3.2625687122345
-82.1250169,38.62500043,64195,-3.24407172203064
-82.1250169,38.70833376,64196,-3.22557497024536
-82.1250169,38.79166709,64197,-3.19210910797119
-82.1250169,38.87500042,64198,-3.14367485046387
-82.1250169,38.95833375,64199,-3.09524059295654
-82.1250169,39.04166708,64200,-3.02398753166199
-82.1250169,39.12500041,64201,-2.92991590499878
-82.1250169,39.20833374,64202,-2.83584451675415
-82.1250169,39.29166707,64203,-2.73521614074707
-82.1250169,39.3750004,64204,-2.62803101539612
-82.1250169,39.45833373,64205,-2.52084589004517
-82.1250169,39.62500039,64206,-2.3769416809082
-82.1250169,39.70833372,64207,-2.31673383712769
-82.1250169,39.79166705,64208,-2.26491928100586
-82.1250169,39.87500038,64209,-2.2214982509613
-82.1250169,39.95833371,64210,-2.17807698249817
-82.1250169,40.04166704,64211,-2.11873984336853
-82.1250169,40.12500037,64212,-2.04348754882812
-82.1250169,40.2083337,64213,-1.96823489665985
-82.1250169,40.29166703,64214,-1.88770532608032
-82.1250169,40.37500036,64215,-1.80189871788025
-82.1250169,40.45833369,64216,-1.71609199047089
-82.1250169,40.54166702,64217,-1.65244591236115
-82.1250169,40.62500035,64218,-1.61096012592316
-82.1250169,40.70833368,64219,-1.56947422027588
-82.1250169,40.79166701,64220,-1.55778014659882
-82.1250169,40.87500034,64221,-1.5758775472641
-82.1250169,40.95833367,64222,-1.59397482872009
-82.1250169,41.041667,64223,-1.60464000701904
-82.1250169,41.12500033,64224,-1.60787308216095
-82.1250169,41.20833366,64225,-1.61110615730286
-82.1250169,41.29166699,64226,-1.55903887748718
-82.1250169,41.37500032,64227,-1.45167207717896
-82.0416836,27.04166756,64228,-9.5620584487915
-82.0416836,27.12500089,64229,-9.53599548339844
-82.0416836,27.20833422,64230,-9.50993156433105
-82.0416836,27.29166755,64231,-9.44626331329346
-82.0416836,27.37500088,64232,-9.34499168395996
-82.0416836,27.45833421,64233,-9.24371910095215
-82.0416836,27.54166754,64234,-9.15505790710449
-82.0416836,27.62500087,64235,-9.07900714874268
-82.0416836,27.7083342,64236,-9.00295639038086
-82.0416836,27.79166753,64237,-8.94837284088135
-82.0416836,27.87500086,64238,-8.91525554656982
-82.0416836,27.95833419,64239,-8.8821382522583
-82.0416836,28.04166752,64240,-8.89645481109619
-82.0416836,28.12500085,64241,-8.95820331573486
-82.0416836,28.20833418,64242,-9.01995182037354
-82.0416836,28.70833416,64243,-8.97889041900635
-82.0416836,28.79166749,64244,-8.96986961364746
-82.0416836,28.87500082,64245,-8.90506649017334
-82.0416836,28.95833415,64246,-8.8402624130249
-82.0416836,29.04166748,64247,-8.72924423217773
-82.0416836,29.12500081,64248,-8.57201290130615
-82.0416836,29.20833414,64249,-8.41478252410889
-82.0416836,29.29166747,64250,-8.2778377532959
-82.0416836,29.3750008,64251,-8.16117763519287
-82.0416836,29.45833413,64252,-8.04451751708984
-82.0416836,29.54166746,64253,-7.96864748001099
-82.0416836,29.62500079,64254,-7.93356561660767
-82.0416836,29.70833412,64255,-7.89848375320435
-82.0416836,29.79166745,64256,-7.85306978225708
-82.0416836,29.95833411,64257,-7.74158000946045
-82.0416836,30.04166744,64258,-7.74464416503906
-82.0416836,30.12500077,64259,-7.80651521682739
-82.0416836,30.2083341,64260,-7.86838626861572
-82.0416836,30.29166743,64261,-7.88912534713745
-82.0416836,30.37500076,64262,-7.86873388290405
-82.0416836,30.45833409,64263,-7.84834241867065
-82.0416836,30.54166742,64264,-7.83632850646973
-82.0416836,30.62500075,64265,-7.83269309997559
-82.0416836,30.70833408,64266,-7.82905721664429
-82.0416836,30.79166741,64267,-7.82047605514526
-82.0416836,30.87500074,64268,-7.80695056915283
-82.0416836,31.0416674,64269,-7.77971696853638
-82.0416836,31.12500073,64270,-7.76582813262939
-82.0416836,31.20833406,64271,-7.75193881988525
-82.0416836,31.29166739,64272,-7.732581615448
-82.0416836,31.37500072,64273,-7.70775604248047
-82.0416836,31.45833405,64274,-7.68293046951294
-82.0416836,31.54166738,64275,-7.65365362167358
-82.0416836,31.62500071,64276,-7.61992454528809
-82.0416836,31.70833404,64277,-7.58619594573975
-82.0416836,31.79166737,64278,-7.56387138366699
-82.0416836,31.8750007,64279,-7.55295038223267
-82.0416836,31.95833403,64280,-7.5420298576355
-82.0416836,32.04166736,64281,-7.52942371368408
-82.0416836,32.12500069,64282,-7.51513147354126
-82.0416836,32.20833402,64283,-7.5008397102356
-82.0416836,32.29166735,64284,-7.46392869949341
-82.0416836,32.37500068,64285,-7.40439891815186
-82.0416836,32.45833401,64286,-7.3448691368103
-82.0416836,32.54166734,64287,-7.27011775970459
-82.0416836,32.62500067,64288,-7.18014574050903
-82.0416836,32.708334,64289,-7.09017419815063
-82.0416836,32.79166733,64290,-7.0366644859314
-82.0416836,32.87500066,64291,-7.019615650177
-82.0416836,32.95833399,64292,-7.00256681442261
-82.0416836,33.04166732,64293,-6.95539331436157
-82.0416836,33.12500065,64294,-6.87809658050537
-82.0416836,33.20833398,64295,-6.80079936981201
-82.0416836,33.29166731,64296,-6.70158529281616
-82.0416836,33.37500064,64297,-6.58045482635498
-82.0416836,33.45833397,64298,-6.4593243598938
-82.0416836,33.5416673,64299,-6.3460373878479
-82.0416836,33.62500063,64300,-6.24059295654297
-82.0416836,33.70833396,64301,-6.1351490020752
-82.0416836,33.79166729,64302,-6.03121089935303
-82.0416836,34.12500061,64303,-5.66509437561035
-82.0416836,34.20833394,64304,-5.59173822402954
-82.0416836,34.29166727,64305,-5.49948120117188
-82.0416836,34.3750006,64306,-5.38832473754883
-82.0416836,34.45833393,64307,-5.27716827392578
-82.0416836,34.54166726,64308,-5.13298082351685
-82.0416836,34.62500059,64309,-4.9557638168335
-82.0416836,34.70833392,64310,-4.77854633331299
-82.0416836,34.79166725,64311,-4.62751531600952
-82.0416836,34.87500058,64312,-4.50267028808594
-82.0416836,34.95833391,64313,-4.3778247833252
-82.0416836,35.04166724,64314,-4.15499401092529
-82.0416836,35.12500057,64315,-3.83417987823486
-82.0416836,35.2083339,64316,-3.51336574554443
-82.0416836,35.29166723,64317,-3.17991042137146
-82.0416836,35.37500056,64318,-2.83381366729736
-82.0416836,35.54166722,64319,-2.11659646034241
-82.0416836,35.62500055,64320,-1.7204521894455
-82.0416836,35.70833388,64321,-1.32430803775787
-82.0416836,35.79166721,64322,-1.01630127429962
-82.0416836,35.87500054,64323,-0.796429574489594
-82.0416836,35.95833387,64324,-0.576557874679565
-82.0416836,36.0416672,64325,-0.465450286865234
-82.0416836,36.29166719,64326,-0.517542719841003
-82.0416836,36.37500052,64327,-0.633457481861115
-82.0416836,36.45833385,64328,-0.749372243881226
-82.0416836,36.54166718,64329,-0.84866851568222
-82.0416836,36.62500051,64330,-0.931346714496613
-82.0416836,36.70833384,64331,-1.01402485370636
-82.0416836,36.79166717,64332,-1.04420101642609
